Date,Cases (confirmed plus probable),New cases,Confirmed cases,Probable Cases,,
"March 7, 2021","374,850",412,N/A,N/A,,
"March 6, 2021","374,438",570,N/A,N/A,,
"March 5, 2021","373,868","1,160",N/A,N/A,,
"March 4, 2021","372,708",0,N/A,N/A,,
"March 3, 2021","372,708",729,N/A,N/A,,
"March 2, 2021","371,979",487,N/A,N/A,,
"March 1, 2021","371,492",257,N/A,N/A,,
"February 28, 2021","371,235",465,N/A,N/A,,
"February 27, 2021","370,770",686,N/A,N/A,,
"February 26, 2021","370,084",651,N/A,N/A,,
"February 25, 2021","369,433",832,N/A,N/A,,
"February 24, 2021","368,601",812,N/A,N/A,,
"February 23, 2021","367,789",716,N/A,N/A,,
"February 22, 2021","367,073",338,N/A,N/A,,
"February 21, 2021","366,735",701,N/A,N/A,,
"February 20, 2021","366,034",778,N/A,N/A,,
"February 19, 2021","365,256",857,N/A,N/A,,
"February 18, 2021","364,399","1,151",N/A,N/A,,
"February 17, 2021","363,248",901,N/A,N/A,,
"February 16, 2021","362,347",591,N/A,N/A,,
"February 15, 2021","361,756",462,N/A,N/A,,
"February 14, 2021","361,294",710,N/A,N/A,,
"February 13, 2021","360,584",943,N/A,N/A,,
"February 12, 2021","359,641","1,060",N/A,N/A,,
"February 11, 2021","358,581","1,242",N/A,N/A,,
"February 10, 2021","357,339","1,299",N/A,N/A,,
"February 9, 2021","356,040",918,N/A,N/A,,
"February 8, 2021","355,122",514,N/A,N/A,,
"February 7, 2021","354,608",908,N/A,N/A,,
"February 6, 2021","353,700","1,211",N/A,N/A,,
"February 5, 2021","352,489","1,216",N/A,N/A,,
"February 4, 2021","351,273","1,273",N/A,N/A,,
"February 3, 2021","350,000","1,591",N/A,N/A,,
"February 2, 2021","348,409","1,201",N/A,N/A,,
"February 1, 2021","347,208",584,N/A,N/A,,
"January 31, 2021","346,624","1,194",N/A,N/A,,
"January 30, 2021","345,430","1,468",N/A,N/A,,
"January 29, 2021","343,962","1,517",N/A,N/A,,
"January 28, 2021","342,445","1,761",N/A,N/A,,
"January 27, 2021","340,684","2,009",N/A,N/A,,
"January 26, 2021","338,675","1,411",N/A,N/A,,
"January 25, 2021","337,264",859,N/A,N/A,,
"January 24, 2021","336,405","1,516",N/A,N/A,,
"January 23, 2021","334,889","1,771",N/A,N/A,,
"January 22, 2021","333,118","2,649",N/A,N/A,,
"January 21, 2021","330,469","2,089",N/A,N/A,,
"January 20, 2021","328,380","2,159",N/A,N/A,,
"January 19, 2021","326,221","1,302",N/A,N/A,,
"January 18, 2021","324,919","1,082",N/A,N/A,,
"January 17, 2021","323,837","1,585",N/A,N/A,,
"January 16, 2021","322,252","2,150",N/A,N/A,,
"January 15, 2021","320,102","2,543",N/A,N/A,,
"January 14, 2021","317,559","2,742",N/A,N/A,,
"January 13, 2021","314,817","5,188",N/A,N/A,,
"January 12, 2021","309,629","2,146",N/A,N/A,,
"January 11, 2021","307,483","1,484",N/A,N/A,,
"January 10, 2021","305,999","2,276",N/A,N/A,,
"January 9, 2021","303,723","2,613",N/A,N/A,,
"January 8, 2021","301,110","3,793",N/A,N/A,,
"January 7, 2021","297,317","4,597",N/A,N/A,,
"January 6, 2021","292,720","3,769",N/A,N/A,,
"January 5, 2021","288,951","3,318",N/A,N/A,,
"January 4, 2021","285,633","2,160",N/A,N/A,,
"January 3, 2021","283,473","1,819",N/A,N/A,,
"January 2, 2021","281,654","5,042",N/A,N/A,,
"January 1, 2021","276,612",0,N/A,N/A,,
"December 31, 2020","276,612","4,672",N/A,N/A,,
"December 30, 2020","271,940","2,614",N/A,N/A,,
"December 29, 2020","269,326","2,736",N/A,N/A,,
"December 28, 2020","266,590","1,716",N/A,N/A,,
"December 27, 2020","264,874",796,N/A,N/A,,
"December 26, 2020","264,078","3,489",N/A,N/A,,
"December 25, 2020","260,589",0,N/A,N/A,,
"December 24, 2020","260,589","2,892",N/A,N/A,,
"December 23, 2020","257,697","2,612",N/A,N/A,,
"December 22, 2020","255,085","2,302",N/A,N/A,,
"December 21, 2020","252,783","1,819",N/A,N/A,,
"December 20, 2020","250,964","1,994",N/A,N/A,,
"December 19, 2020","248,970","2,408",N/A,N/A,,
"December 18, 2020","246,562","2,644",N/A,N/A,,
"December 17, 2020","243,918","3,203",N/A,N/A,,
"December 16, 2020","240,715","2,928",N/A,N/A,,
"December 15, 2020","237,787","1,915",N/A,N/A,,
"December 14, 2020","235,872","1,968",N/A,N/A,,
"December 13, 2020","233,904","2,083",N/A,N/A,,
"December 12, 2020","231,821","3,692",N/A,N/A,,
"December 11, 2020","228,129","2,183",N/A,N/A,,
"December 10, 2020","225,946","3,401",N/A,N/A,,
"December 9, 2020","222,545","2,574",N/A,N/A,,
"December 8, 2020","219,971","2,333",N/A,N/A,,
"December 7, 2020","217,638","2,231",N/A,N/A,,
"December 6, 2020","215,407","2,563",N/A,N/A,,
"December 5, 2020","212,844","3,674",N/A,N/A,,
"December 4, 2020","209,170","3,005",N/A,N/A,,
"December 3, 2020","206,165","3,945",N/A,N/A,,
"December 2, 2020","202,220","4,004",N/A,N/A,,
"December 1, 2020","198,216","2,510",N/A,N/A,,
"November 30, 2020","195,706","1,897",N/A,N/A,,
"November 29, 2020","193,809","1,722",N/A,N/A,,
"November 28, 2020","192,087","2,043",N/A,N/A,,
"November 27, 2020","190,044","6,142",N/A,N/A,,
"November 26, 2020","183,902",0,N/A,N/A,,
"November 25, 2020","183,902","1,781",N/A,N/A,,
"November 24, 2020","182,121","2,701",N/A,N/A,,
"November 23, 2020","179,420","2,244",N/A,N/A,,
"November 22, 2020","177,176","3,197",N/A,N/A,,
"November 21, 2020","173,979","3,395",N/A,N/A,,
"November 20, 2020","170,584","4,588",N/A,N/A,,
"November 19, 2020","165,996","3,968",N/A,N/A,,
"November 18, 2020","162,028","3,071",N/A,N/A,,
"November 17, 2020","158,957","3,178",N/A,N/A,,
"November 16, 2020","155,779","1,971",N/A,N/A,,
"November 15, 2020","153,808","2,667",N/A,N/A,,
"November 14, 2020","151,141","5,352",N/A,N/A,,
"November 13, 2020","145,789","2,150",N/A,N/A,,
"November 12, 2020","143,639","3,919",N/A,N/A,,
"November 11, 2020","139,720","2,335",N/A,N/A,,
"November 10, 2020","137,385","2,517",N/A,N/A,,
"November 9, 2020","134,868","2,247",N/A,N/A,,
"November 8, 2020","132,621","2,386",N/A,N/A,,
"November 7, 2020","130,235","2,956",N/A,N/A,,
"November 6, 2020","127,279","2,987",N/A,N/A,,
"November 5, 2020","124,292","2,807",N/A,N/A,,
"November 4, 2020","121,485","2,110",N/A,N/A,,
"November 3, 2020","119,375","1,669",N/A,N/A,,
"November 2, 2020","117,706","1,196",N/A,N/A,,
"November 1, 2020","116,510","1,854",N/A,N/A,,
"October 31, 2020","114,656","1,724",N/A,N/A,,
"October 30, 2020","112,932","2,292",N/A,N/A,,
"October 29, 2020","110,640","1,837",N/A,N/A,,
"October 28, 2020","108,803","1,575",N/A,N/A,,
"October 27, 2020","107,228","1,145",N/A,N/A,,
"October 26, 2020","106,083","1,201",N/A,N/A,,
"October 25, 2020","104,882","1,765",N/A,N/A,,
"October 24, 2020","103,117","1,608",N/A,N/A,,
"October 23, 2020","101,509","1,960",N/A,N/A,,
"October 22, 2020","99,549","1,543",N/A,N/A,,
"October 21, 2020","98,006","1,363",N/A,N/A,,
"October 20, 2020","96,643","1,081",N/A,N/A,,
"October 19, 2020","95,562","1,168",N/A,N/A,,
"October 18, 2020","94,394","1,097",N/A,N/A,,
"October 17, 2020","93,297","1,340",N/A,N/A,,
"October 16, 2020","91,957","1,496",N/A,N/A,,
"October 15, 2020","90,461","1,498",N/A,N/A,,
"October 14, 2020","88,963","1,144",N/A,N/A,,
"October 13, 2020","87,819",987,N/A,N/A,,
"October 12, 2020","86,832",988,N/A,N/A,,
"October 11, 2020","85,844","1,200",N/A,N/A,,
"October 10, 2020","84,644","1,354",N/A,N/A,,
"October 9, 2020","83,290","1,343",N/A,N/A,,
"October 8, 2020","81,947","1,501",N/A,N/A,,
"October 7, 2020","80,446","1,007",N/A,N/A,,
"October 6, 2020","79,439",716,N/A,N/A,,
"October 5, 2020","78,723","1,105",N/A,N/A,,
"October 4, 2020","77,618","1,393",N/A,N/A,,
"October 3, 2020","76,225","1,068",N/A,N/A,,
"October 2, 2020","75,157","1,107",N/A,N/A,,
"October 1, 2020","74,050","1,008",N/A,N/A,,
"September 30, 2020","73,042",906,N/A,N/A,,
"September 29, 2020","72,136",694,N/A,N/A,,
"September 28, 2020","71,442",827,N/A,N/A,,
"September 27, 2020","70,615","1,068",N/A,N/A,,
"September 26, 2020","69,547","1,017",N/A,N/A,,
"September 25, 2020","68,530","1,411",N/A,N/A,,
"September 24, 2020","67,119","1,198",N/A,N/A,,
"September 23, 2020","65,921",877,N/A,N/A,,
"September 22, 2020","65,044",650,N/A,N/A,,
"September 21, 2020","64,394",622,N/A,N/A,,
"September 20, 2020","63,772",920,N/A,N/A,,
"September 19, 2020","62,852","1,077",N/A,N/A,,
"September 18, 2020","61,775","1,117",N/A,N/A,,
"September 17, 2020","60,658",911,N/A,N/A,,
"September 16, 2020","59,747",747,N/A,N/A,,
"September 15, 2020","59,000",562,N/A,N/A,,
"September 14, 2020","58,438",563,N/A,N/A,,
"September 13, 2020","57,875",628,N/A,N/A,,
"September 12, 2020","57,247",572,N/A,N/A,,
"September 11, 2020","56,675",656,N/A,N/A,,
"September 10, 2020","56,019",346,N/A,N/A,,
"September 9, 2020","55,673",314,N/A,N/A,,
"September 8, 2020","55,359",326,N/A,N/A,,
"September 7, 2020","55,033",373,N/A,N/A,,
"September 6, 2020","54,660",388,N/A,N/A,,
"September 5, 2020","54,272",433,N/A,N/A,,
"September 4, 2020","53,839",513,N/A,N/A,,
"September 3, 2020","53,326",504,N/A,N/A,,
"September 2, 2020","52,822",419,N/A,N/A,,
"September 1, 2020","52,403",296,N/A,N/A,,
"August 31, 2020","52,107",253,N/A,N/A,,
"August 30, 2020","51,854",448,N/A,N/A,,
"August 29, 2020","51,406",458,N/A,N/A,,
"August 28, 2020","50,948",391,N/A,N/A,,
"August 27, 2020","50,557",383,N/A,N/A,,
"August 26, 2020","50,174",407,N/A,N/A,,
"August 25, 2020","49,767",403,N/A,N/A,,
"August 24, 2020","49,364",249,N/A,N/A,,
"August 23, 2020","49,115",301,N/A,N/A,,
"August 22, 2020","48,814",369,N/A,N/A,,
"August 21, 2020","48,445",463,N/A,N/A,,
"August 20, 2020","47,982",461,N/A,N/A,,
"August 19, 2020","47,521",364,N/A,N/A,,
"August 18, 2020","47,157",263,N/A,N/A,,
"August 17, 2020","46,894",242,N/A,N/A,,
"August 16, 2020","46,652",331,N/A,N/A,,
"August 15, 2020","46,321",345,N/A,N/A,,
"August 14, 2020","45,976",552,N/A,N/A,,
"August 13, 2020","45,424",334,N/A,N/A,,
"August 12, 2020","45,090",338,N/A,N/A,,
"August 11, 2020","44,752",362,N/A,N/A,,
"August 10, 2020","44,390",263,N/A,N/A,,
"August 9, 2020","44,127",376,N/A,N/A,,
"August 8, 2020","43,751",376,N/A,N/A,,
"August 7, 2020","43,375",460,N/A,N/A,,
"August 6, 2020","42,915",587,N/A,N/A,,
"August 5, 2020","42,328",421,N/A,N/A,,
"August 4, 2020","41,907",378,N/A,N/A,,
"August 3, 2020","41,529",354,N/A,N/A,,
"August 2, 2020","41,175",473,N/A,N/A,,
"August 1, 2020","40,702",506,N/A,N/A,,
"July 31, 2020","40,196",500,N/A,N/A,,
"July 30, 2020","39,696",502,N/A,N/A,,
"July 29, 2020","39,194",339,N/A,N/A,,
"July 28, 2020","38,855",446,N/A,N/A,,
"July 27, 2020","38,409",436,N/A,N/A,,
"July 26, 2020","37,973",350,N/A,N/A,,
"July 25, 2020","37,623",661,N/A,N/A,,
"July 24, 2020","36,962",863,N/A,N/A,,
"July 23, 2020","36,099",521,N/A,N/A,,
"July 22, 2020","35,578",566,N/A,N/A,,
"July 21, 2020","35,012",486,N/A,N/A,,
"July 20, 2020","34,526",409,N/A,N/A,,
"July 19, 2020","34,117",785,N/A,N/A,,
"July 18, 2020","33,332",760,N/A,N/A,,
"July 17, 2020","32,572",727,N/A,N/A,,
"July 16, 2020","31,845",954,N/A,N/A,,
"July 15, 2020","30,891",413,N/A,N/A,,
"July 14, 2020","30,478",448,N/A,N/A,,
"July 13, 2020","30,030",546,N/A,N/A,,
"July 12, 2020","29,484",629,N/A,N/A,,
"July 11, 2020","28,855",632,N/A,N/A,,
"July 10, 2020","28,223",867,N/A,N/A,,
"July 9, 2020","27,356",601,N/A,N/A,,
"July 8, 2020","26,755",722,N/A,N/A,,
"July 7, 2020","26,033",564,N/A,N/A,,
"July 6, 2020","25,469",517,N/A,N/A,,
"July 5, 2020","24,952",410,N/A,N/A,,
"July 4, 2020","24,542",676,N/A,N/A,,
"July 3, 2020","23,866",596,N/A,N/A,,
"July 2, 2020","23,270",554,N/A,N/A,,
"July 1, 2020","22,716",499,N/A,N/A,,
"June 30, 2020","22,217",553,N/A,N/A,,
"June 29, 2020","21,664",564,N/A,N/A,,
"June 28, 2020","21,100",472,N/A,N/A,,
"June 27, 2020","20,628",578,N/A,N/A,,
"June 26, 2020","20,050",676,N/A,N/A,,
"June 25, 2020","19,374",590,N/A,N/A,,
"June 24, 2020","18,784",484,N/A,N/A,,
"June 23, 2020","18,300",394,N/A,N/A,,
"June 22, 2020","17,906",444,N/A,N/A,,
"June 21, 2020","17,462",394,N/A,N/A,,
"June 20, 2020","17,068",643,N/A,N/A,,
"June 19, 2020","16,425",586,N/A,N/A,,
"June 18, 2020","15,839",495,N/A,N/A,,
"June 17, 2020","15,344",407,N/A,N/A,,
"June 16, 2020","14,937",329,N/A,N/A,,
"June 15, 2020","14,608",295,N/A,N/A,,
"June 14, 2020","14,313",332,N/A,N/A,,
"June 13, 2020","13,981",404,N/A,N/A,,
"June 12, 2020","13,577",325,N/A,N/A,,
"June 11, 2020","13,252",388,N/A,N/A,,
"June 10, 2020","12,864",305,N/A,N/A,,
"June 9, 2020","12,559",237,N/A,N/A,,
"June 8, 2020","12,322",256,N/A,N/A,,
"June 7, 2020","12,066",268,N/A,N/A,,
"June 6, 2020","11,798",546,N/A,N/A,,
"June 5, 2020","11,252",439,N/A,N/A,,
"June 4, 2020","10,813",316,N/A,N/A,,
"June 3, 2020","10,497",295,N/A,N/A,,
"June 2, 2020","10,202",203,N/A,N/A,,
"June 1, 2020","9,999",202,N/A,N/A,,
"May 31, 2020","9,797",264,N/A,N/A,,
"May 30, 2020","9,533",269,N/A,N/A,,
"May 29, 2020","9,264",343,N/A,N/A,,
"May 28, 2020","8,921",215,N/A,N/A,,
"May 27, 2020","8,706",86,N/A,N/A,,
"May 26, 2020","8,620",99,N/A,N/A,,
"May 25, 2020","8,521",129,N/A,N/A,,
"May 24, 2020","8,392",132,N/A,N/A,,
"May 23, 2020","8,260",203,N/A,N/A,,
"May 22, 2020","8,057",183,N/A,N/A,,
"May 21, 2020","7,874",164,N/A,N/A,,
"May 20, 2020","7,710",192,N/A,N/A,,
"May 19, 2020","7,518",134,N/A,N/A,,
"May 18, 2020","7,384",146,N/A,N/A,,
"May 17, 2020","7,238",170,N/A,N/A,,
