Date,Open,High,Low,Close,Adj Close,Volume
2020-11-16,2.150000,2.450000,2.000000,2.410000,2.410000,1192800
2020-11-17,2.330000,2.530000,2.250000,2.350000,2.350000,508400
2020-11-18,2.940000,3.050000,2.750000,2.890000,2.890000,21182900
2020-11-19,2.700000,3.000000,2.630000,2.980000,2.980000,1138900
2020-11-20,2.990000,3.140000,2.900000,3.050000,3.050000,825600
2020-11-23,3.070000,3.100000,2.800000,2.870000,2.870000,422700
2020-11-24,2.880000,2.910000,2.710000,2.770000,2.770000,253400
2020-11-25,2.720000,2.780000,2.610000,2.700000,2.700000,296400
2020-11-27,2.610000,2.680000,2.550000,2.600000,2.600000,148000
2020-11-30,2.600000,2.630000,2.430000,2.520000,2.520000,171400
2020-12-01,2.560000,2.630000,2.510000,2.510000,2.510000,173200
2020-12-02,2.500000,2.520000,2.430000,2.450000,2.450000,92900
2020-12-03,2.440000,2.470000,2.320000,2.370000,2.370000,192300
2020-12-04,2.380000,2.550000,2.360000,2.530000,2.530000,159100
2020-12-07,2.510000,2.520000,2.410000,2.420000,2.420000,64200
2020-12-08,2.430000,2.480000,2.410000,2.450000,2.450000,67200
2020-12-09,2.420000,2.450000,2.310000,2.330000,2.330000,60400
2020-12-10,2.390000,2.420000,2.330000,2.400000,2.400000,51800
2020-12-11,2.400000,2.700000,2.380000,2.660000,2.660000,5298900
2020-12-14,3.130000,3.370000,2.750000,2.860000,2.860000,10752700
2020-12-15,2.600000,3.120000,2.580000,3.100000,3.100000,1006200
2020-12-16,2.870000,3.090000,2.760000,2.760000,2.760000,539100
2020-12-17,2.710000,2.850000,2.650000,2.810000,2.810000,262100
2020-12-18,2.700000,2.750000,2.620000,2.660000,2.660000,177400
2020-12-21,2.600000,2.810000,2.550000,2.650000,2.650000,462000
2020-12-22,2.640000,2.800000,2.580000,2.650000,2.650000,405900
2020-12-23,2.670000,2.720000,2.560000,2.560000,2.560000,147700
2020-12-24,2.610000,2.630000,2.460000,2.490000,2.490000,75800
2020-12-28,2.480000,2.540000,2.420000,2.430000,2.430000,107700
2020-12-29,2.560000,2.580000,2.440000,2.510000,2.510000,188500
2020-12-30,2.480000,2.520000,2.400000,2.450000,2.450000,135200
2020-12-31,2.440000,2.500000,2.330000,2.380000,2.380000,158500
2021-01-04,2.440000,2.460000,2.380000,2.450000,2.450000,97700
2021-01-05,2.400000,2.600000,2.400000,2.570000,2.570000,131200
2021-01-06,2.620000,2.620000,2.430000,2.430000,2.430000,115400
2021-01-07,2.490000,2.600000,2.440000,2.500000,2.500000,159900
2021-01-08,2.530000,2.540000,2.420000,2.490000,2.490000,137400
2021-01-11,2.470000,2.720000,2.440000,2.590000,2.590000,213800
2021-01-12,2.560000,2.650000,2.540000,2.620000,2.620000,127100
2021-01-13,2.670000,2.730000,2.540000,2.590000,2.590000,154200
2021-01-14,2.610000,2.690000,2.570000,2.640000,2.640000,146200
2021-01-15,2.610000,2.640000,2.520000,2.550000,2.550000,125600
2021-01-19,2.570000,2.720000,2.510000,2.670000,2.670000,156900
2021-01-20,2.680000,2.740000,2.630000,2.680000,2.680000,75700
2021-01-21,2.670000,2.930000,2.580000,2.900000,2.900000,570600
2021-01-22,2.850000,3.130000,2.720000,2.920000,2.920000,874800
2021-01-25,3.000000,3.030000,2.650000,2.810000,2.810000,313600
2021-01-26,2.850000,3.110000,2.810000,2.850000,2.850000,565000
2021-01-27,2.800000,2.850000,2.660000,2.690000,2.690000,193400
2021-01-28,2.660000,2.800000,2.580000,2.760000,2.760000,305100
2021-01-29,2.700000,2.750000,2.540000,2.550000,2.550000,152400
2021-02-01,2.550000,2.600000,2.450000,2.580000,2.580000,178100
2021-02-02,2.560000,2.810000,2.520000,2.610000,2.610000,299100
2021-02-03,2.620000,2.720000,2.580000,2.670000,2.670000,185500
2021-02-04,2.700000,2.730000,2.660000,2.690000,2.690000,82800
2021-02-05,2.850000,2.900000,2.740000,2.810000,2.810000,353800
2021-02-08,2.800000,3.000000,2.770000,2.990000,2.990000,237800
2021-02-09,2.990000,3.110000,2.850000,3.030000,3.030000,301500
2021-02-10,3.100000,3.320000,2.810000,3.060000,3.060000,440600
2021-02-11,3.100000,3.100000,2.850000,2.920000,2.920000,147600
2021-02-12,2.940000,3.250000,2.900000,3.240000,3.240000,884000
